refine              动 提炼 从(物质)中除去杂质或不需要的元素，通常作为工业过程的一部分 如糖 形容物理的是原意 改进 为改进或阐明(理论或方法)而作微小的修改 形容抽象的引申义 形似confine
nonsense            名 无意义的话 没有意义的口头或书面的话 也可用于表示强烈反对 胡闹荒唐举动 愚蠢的或不可接受的行为 意似garbage
oblige              动 强迫 使(某人)在法律上或道德上受约束做某事 帮助 按(某人)的要求或愿望去做，以帮助或取悦他们 感激 be indebted or grateful 用法be obliged 非常奇怪的单词 意似impose compel
petrol              名 汽油英式 美式是gasoline 形似gas 名 气体 燃气 fuel 名 燃料 petroleum 名 石油
prevail             动 占优势 prove more powerful or superior 如逻辑比情绪占优势难 引申到流行 在特定地区或特定时间广泛或流行的 劝说 persuade (someone) to do something 用法prevail on/upon
prominent           形 重要著名的 important;famous 形容人 凸出的 从某物突出的;招人注意的 物理上的凸出 如龅牙金鱼眼 显眼的显著的 为了引起注意而放置的;明显的 如物体
quiz                名 知识竞赛 对知识的测试，尤指个人或团队之间的竞赛，作为一种娱乐形式 小测验 给学生的非正式的笔试或考试 美式说法 询问盘问 an act of questioning someone 特别是警方调查 英式非正式说法 动 询问盘问 进行小测验
reap                动 收割 cut or gather (a crop or harvest) 收获获得 因自己或他人的行为而得到(某物，尤指有益的东西)
reinforce           动 加固 加固或支撑(物体或物质)，尤指用额外的材料 非常物理的说法 强化 加强(现有的感觉、想法或习惯) 形容抽象内容 增加增援 用额外的人员或装备加强(军事力量) 形容军事力量 注意有i:和I连音 意似strengthen
remark              名动 言论评论 说点什么作为评论 注意 regard with attention;notice
remedy              名 治疗药物疗法 治疗疾病或损伤的药物或治疗方法 这是本意 改进补救措施 抵制或消除不受欢迎事物的手段 法律补偿 法律赔偿的手段 形似realm
scratch             动 划 用锋利或尖的物体在(某物)表面划下或标记 引申到划破在…的皮肤上留下又长又窄的浅表伤口挠用指甲摩擦(身体的某一部分)以止痒 划掉 用钢笔或铅笔取消或划掉(书写) 引申到让(竞争者)退出比赛可以主动也可以被动取消或放弃(一项事业或计划) 名 划痕划伤 因划伤而留下的痕迹或伤口
