exert               动 施加 施加(力量、影响或品质) 努力 做出体力或脑力上的努力 用法exert oneself
moist               形 微湿的湿润的 slightly wet 如气候眼睛 意似damp tropical
murder              名动 谋杀 一个人对另一个人的非法有预谋的杀害
mutual              形 相互的 (指感觉或行动)两方或多方对另一方或其他人所经历或做的 共同的 由两方或多方共同持有的
patch               名 补丁 用来修补或加固撕裂或薄弱部位的一块布或其它材料 动 用补丁修补 用补丁修补或加固(织物或衣服)
pave                动 铺 用平坦的石头或砖块覆盖(一块地面) 形似tile
paw                 名 爪 动物脚上的claws and pads 手 a person's hand 非正式用法 动 用爪子挠用蹄子刨 (指动物)用爪子或蹄子摸或刮 猥劣地摩挲 (指人)笨拙地或好色地触摸 意似claw是指足部指头上的角质甲 pad
persist              动 坚持不懈 不顾困难或反对，坚持一种意见或行动 一定是有困难和反对才叫做坚持 持续存在 如症状 同根词persistent 意思一一对应 意似persevere
pigeon              名 鸽子 一种粗壮的以种子或水果为食的鸟，头小，腿短，发出咕咕的声音，通常有灰白色的羽毛
pint                名 品脱 液体或干容量单位，等于八分之一加仑，在英国等于0.568升，在美国等于0.473升(液体量)或0.551升(干量)
pitch               名 音高 由振动频率决定的声音的质量;音调:音调的高或低的程度 斜度 陡度斜坡尤指屋顶的陡度 强度 某物强度的水平，尤指高水平 如媒体的愤怒 场地 划出的或用于户外团队比赛的场地 英式说法 沥青 动 很多 给…涂抹沥青 cover, coat, or smear with pitch
readily             形 乐意的 毫不犹豫或不情愿的 容易的 毫不拖延或困难地 词根ready
refrain             动 忍住节制 阻止自己做某事 对于自己就是克制 名 副歌叠句 诗或歌曲中重复的一行或几行，通常在每节诗的末尾 一再重复的话口头禅 经常重复的评论或抱怨 意似curb control restrain
repay               动 偿还借款 pay back (a loan) 报答 做某事或给予某事以回报(所受的恩惠或好意) 意似extinguish settle
slice               动 把...切片 cut (something, especially food) into slices 切下 用锋利的工具从(较大的东西)上切下某物 名 薄片 从大块上切下来的又薄又宽的食物，如面包、肉或蛋糕 部分 某物的一部分或一份
spur                名 马刺 一种带小钉或带钉的轮子的装置，戴在骑手的脚跟上，用来推动马前进 激励 促使或鼓励某人的事物 动 用踢马刺策…前进 用马刺戳马的两侧来催促(马)前进 激励 give an incentive or encouragement to (someone)
steep               形 陡峭的 (指斜坡、楼梯或角度)急剧上升或下降;几乎垂直的 形容物理的东西 急剧的 (指数量的上升或下降)非常大或迅速的 形容抽象的东西 过高的 (指价格或要求)不合理的;过度的 非正式用法 动 浸泡 将(食物或茶)浸泡在水或其他液体中以提取其味道或使其软化 充满浸透 以品质或影响力包围或填充 如历史古城 用法be steeped in 形似steer sheer veritable 意似 soak immerse
suspicion           名 怀疑 认为某事是可能的、可能的或真实的感觉或想法 少许 a very slight trace 用法a suspicion of
suspicious          形 怀疑的 对某人或某物有或表现出谨慎不信任的
sympathetic         形 有同情心的 同情的感觉、表现或表达同情的 (指人)吸引别人的喜爱 词根sympathy 
tangible            形 可触摸的 perceptible by touch 引申到明显的  clear and definite; real 名 可触摸的东西 a thing that is perceptible by touch 意似intangible
tedious             形 单调乏味的 too long, slow, or dull; tiresome or monotonous 意似dull tame
thesis              名 论点 作为要维持或证明的前提而提出的陈述或理论 论文 由大学学位候选人撰写的涉及个人研究的long essay or dissertation 意似contention
triumph             名 伟大胜利成就 a great victory or achievement 动 取得胜利成就 achieve a victory; be successful
tube                名 管 一种由金属、塑料、玻璃等制成的长而中空的圆筒，用来装或运输某种东西，主要是液体或气体 管状物 管状物 a thing in the form of or resembling a tube 意似pipe用于传递液体的tube
upright             形 挺直的 (指人)坐着或站着挺直背 引申到垂直的 placed in a vertical position 正直的 strictly honourable or honest 意似honest erect elect
utter               形 完全极度的 complete;absolute 动 发出说出 make (a sound) with one's voice或者say (something) aloud 意似stark sheer
vacuum              名 真空 一个完全没有物质的空间 引申到空白 因重要的某人或某物的失去、死亡或离开而留下的空缺 真空吸尘器 a vacuum cleaner 动 用真空吸尘器清洁
vigorous            形 强壮的健康的充满精力的 strong, healthy, and full of energy 注意不存在vigourous 意似vibrant
vigor               名 物理的精力力量 physical strength and good health 抽象的精力力量 effort, energy, and enthusiasm 同vigour英式用法
weapon              名 武器 设计或用于造成身体伤害或物理损害的东西 手段 在冲突或竞争中获得优势或保护自己的手段
