preliminary             形 初步的预备的预赛的 为更充分或更重要的事情做准备的 名 初步活动预赛 a preliminary action or event: 意似prerequisite
variation               名 变化 在条件、数量或水平上的变化或细微差别，尤指在一定范围内 变体 不同的形式或版本 如音乐舞蹈的变体 同根词variety various
veritable               形 真正的 用于强调，常用于修饰隐喻 形似verity 意似authentic genuine
versus                  介 对 against (especially in sporting and legal use)体育比赛和法律中的
vertical                形 垂直的 与水平面成直角的;上方的:在一个方向上，或有一条直线，使顶部直接在底部之上 纵向的涉及到不同等级的 involving different levels or stages of a hierarchy or process 如合作 抽象事物上的垂直了 名 垂线垂直面 a vertical line or plane
accordingly             副 相应地 以合适于特定情况的方式 如查明他的计划并且做出相应形容 因此 as a result; therefore
affluent                形 富裕的 (尤指一个团体或地区)有很多钱的;富有的 短语the affluent 富人
ally                    名 同盟国 为军事或其他目的与另一国正式合作的国家 引申到人或组织 动 结合 将一种资源或商品与(另一种资源或商品)联合起来以实现互利 短语ally oneself with 支持和...结盟  形似alley align
anchor                  名 锚 系在缆绳或链条上的重物，用于将船停泊在海底，典型的是一端有一对弯曲的倒钩的金属柄 动 引申到精神支柱 在不确定的情况下提供稳定或信心的人或物 动 用锚把...固定住 用锚把(船)固定在海底 固定住 secure firmly in position 提供坚实基础 provide with a firm basis or foundation
atomic                  形 原子的 relating to an atom or atoms 不可分割的 属于或构成较大系统中单个不可分解的单元或组成部分的 词根atom 原子 
bail                    名 保释 暂时释放等待审判的被告，有时条件是要交一笔钱以保证他们出庭 保释金 由某人支付或为某人支付的钱，以确保他们获得保释 动 保释 在交了保释金后释放或保证释放囚犯  意似bribe
ballot                  名 投票表决 对某一特定问题进行秘密和书面投票的制度 投票总数 一次投票中所投的总票数 动 投票 辨析 vote：选票强调的是选举权 poll：民意测验 ballot：投票表决。指的是不记名投票
banner                  名 横幅 在示威或游行中携带或挂在公共场所的带有标语或图案的长布条 网页横幅标题广告 在网页上以条、栏或方框形式出现的标题或广告 形 极好的 excellent; outstanding 北美用法
blade                   名 刃 刀、锯或其他工具或武器的平且锋利的边缘  意似 saw还有锯子的意思 
